name,facebook,twitter,instagram
Suomen Sosialidemokraattinen Puolue,https://www.facebook.com/sosialidemokraatit,https://twitter.com/demarit,
Suomen Keskusta,https://www.facebook.com/SuomenKeskusta,https://twitter.com/keskusta,https://www.instagram.com/suomenkeskusta
Kansallinen Kokoomus,http://www.facebook.com/kokoomus,http://www.twitter.com/kokoomus,http://www.instagram.com/kansallinenkokoomus
Suomen Kristillisdemokraatit,https://www.facebook.com/pages/Kristillisdemokraatit/157614802920,https://twitter.com/kdpuolue,https://www.instagram.com/kristillisdemokraatit
Vihreä liitto,https://facebook.com/vihreat,https://twitter.com/vihreat,https://instagram.com/vihreat
Vasemmistoliitto,https://www.facebook.com/vasemmisto,https://twitter.com/vasemmisto,https://www.instagram.com/vasemmisto
Perussuomalaiset,https://www.facebook.com/perussuomalaiset,https://twitter.com/persut,https://www.instagram.com/perussuomalaiset.rp
Liberaalipuolue,http://facebook.com/liberaalipuolue,https://twitter.com/liberaalipuolue,https://www.instagram.com/liberaalipuolue
Piraattipuolue,https://www.facebook.com/Piraattipuolue,https://twitter.com/Piraattipuolue,https://www.instagram.com/piraattipuolue
Eläinoikeuspuolue,https://www.facebook.com/elainoikeuspuolue,https://twitter.com/elainoikpuolue,https://www.instagram.com/elainoikeuspuolue
Kansalaispuolue,https://www.facebook.com/kansalaispuoluerp,https://twitter.com/kansalaisp2016,https://www.instagram.com/kansalaispuoluerp
Feministinen puolue,https://www.facebook.com/fpuolue,https://twitter.com/fpuolue,https://www.instagram.com/fpuolue
Tasapainon puolesta,https://www.facebook.com/TasapainonPuolesta,https://twitter.com/IPUFinland,https://www.instagram.com/ipu_2019
Sininen tulevaisuus,https://www.facebook.com/SininenTulevaisuusRp,https://twitter.com/SinisetRp,https://www.instagram.com/sininentulevaisuusrp
Suomen Kansa Ensin,https://www.facebook.com/suomenkansaensin,https://twitter.com/SKE_SF/,
Liike Nyt,https://facebook.com/194677504471503,https://twitter.com/LiikeNyt,https://instagram.com/liikenyt
Avoin Puolue,https://www.facebook.com/AvoinP,https://twitter.com/AvoinP,https://instagram.com/avoinpuolue
Suomen Kommunistinen Puolue,https://www.facebook.com/155056501213872,https://twitter.com/Kommunistit,https://www.instagram.com/suomenkommunistinenpuolue
Kristallipuolue,https://www.facebook.com/Kristallipuolue,https://twitter.com/Kristallipuolue,https://www.instagram.com/kristallipuolue.fi
Valta kuuluu kansalle,https://www.facebook.com/valtakuuluukansalle,https://twitter.com/VKansalle,https://instagram.com/valtakuuluukansalle
Suomen ruotsalainen kansanpuolue,https://www.facebook.com/sfprkp,https://twitter.com/sfprkp,https://www.instagram.com/sfprkp
